Headline,Date,Link,description
"Russia scales down celebrations honoring its navy as Ukraine
                                                        launches more drone attacks",16 minutes ago,https://www.africanews.com/2025/07/28/russia-scales-down-celebrations-honoring-its-navy-as-ukraine-launches-more-drone-attacks/,"Russia on Sunday scaled down festivities honoring its navy
                                                        citing security concerns as continuing Ukrainian drone attacks
                                                        posed a challenge to ..."
"Relief and frustration in Europe as US-EU trade deal agrees 15%
                                                        tariff on most European exports",1 hour ago,https://www.africanews.com/2025/07/28/relief-and-frustration-in-europe-as-us-eu-trade-deal-agrees-15-tariff-on-most-european-exp/,"The US and EU have agreed a framework for a trade deal, bringing
                                                        relief that a transatlantic trade war has been averted but
                                                        frustration for many ..."
"Coalition led by paramilitary RSF forms parallel government in
                                                        Sudan",27/07 - 12:25,https://www.africanews.com/2025/07/27/coalition-led-by-paramilitary-rsf-forms-parallel-government-in-sudan/,"The news raises concerns of further divisions in the country
                                                        that could prolong the devastating civil war."
Increasing number of African Americans relocating to Africa,26/07 - 16:32,https://www.africanews.com/2025/07/26/increasing-number-of-african-americans-relocating-to-africa/,"Those who've made the move describe the need to connect with
                                                        their history and find a better life."
"New law to punish Russians who search online for
                                                        'extremist' content",26/07 - 14:35,https://www.africanews.com/2025/07/26/new-law-to-punish-russians-who-search-online-for-extremist-content/,"The official definition of extremist activity is extremely broad
                                                        and includes opposition groups and the “international LGBT
                                                        movement”."
DR Congo: M23 threatens to boycott peace process over prisoners,26/07 - 09:01,https://www.africanews.com/2025/07/26/dr-congo-m23-threatens-to-boycott-peace-process-over-prisoners/,"The militant group says Kinshasa is being slow to release its
                                                        members ahead of the resumption of talks in Doha on 8 August."
Twisted Metal returns for season two with more chaos and carnage,25/07 - 18:44,https://www.africanews.com/2025/07/25/twisted-metal-returns-for-season-two-with-more-chaos-and-carnage/,"Twisted Metal is back with a second season, promising even more
                                                        explosive action, outrageous characters, and high-octane
                                                        destruction. The hit ..."
"Protesters in Jaffa demand humanitarian aid for Gaza, end to war",25/07 - 18:43,https://www.africanews.com/2025/07/25/protesters-in-jaffa-demand-humanitarian-aid-for-gaza-end-to-war/,"As the war nears its 22nd month, international pressure is
                                                        growing for a ceasefire and unrestricted access to aid."
"Hulk Hogan, wrestling superstar, dies at 71 in Florida",25/07 - 16:26,https://www.africanews.com/2025/07/25/hulk-hogan-wrestling-superstar-dies-at-71-in-florida/,"Hulk Hogan, the iconic figure of professional wrestling known
                                                        for his mustache, headscarf, and impressive biceps, who
                                                        transformed the sport into ..."
'Food colonialism': Nigeria divided over GMO crops,25/07 - 15:16,https://www.africanews.com/2025/07/25/food-colonialism-nigeria-divided-over-gmo-crops/,ngnwfgn
"San Diego comic-con: a sneak peek into pop culture's
                                                        biggest event",25/07 - 13:58,https://www.africanews.com/2025/07/25/san-diego-comic-con-a-sneak-peek-into-pop-cultures-biggest-event/,"Comic-Con International 2025 officially begins on Thursday, but
                                                        eager attendees got a sneak preview on Wednesday at the San
                                                        Diego Convention ..."
"Putin announces plans to modernise Russian navy, which has lost
                                                        30% of warships to Kyiv",25/07 - 12:37,https://www.africanews.com/2025/07/25/putin-announces-plans-to-modernise-russian-navy-which-has-lost-30-of-warships-to-kyiv/,"At a ceremony in Severodvinsk in Russia’s northwestern
                                                        Archangelsk region, the Russian president oversaw the raising of
                                                        the flag on a newly-constructed ..."
